Component,Description,Part,References,Value,Footprint,Quantity Per PCB,Datasheet,Author,SCEM,HelpURL,Status,ComponentLink1Description,SMD,ComponentLink2Description,Footprint Ref,Footprint Path,ComponentLink1URL,Manufacturer Part Number,Component Type,Mounted,ComponentHeight,Case,Socket,License,Part Description,Sense Comment,CreateDate,Manufacturer1 Part Number,Library Path,Pole4,Component Kind,Pin Count,Comment,Part Number,Library Name,Manufacturer1 ComponentHeight,Family,Status Comment,Library Ref,Manufacturer1 Example,ComponentLink2URL,LatestRevisionDate,Sense,Manufacturer,PackageDescription,PN,Val,Tolerance,PressFit,TC,Voltage,~,Device,Power,Bonding,Resistance,Color,Mouser Price/Stock,Mouser Part Number,Manufacturer_Name,Allied_Number,Height,RS Price/Stock,RS Part Number,Allied Price/Stock,Manufacturer_Part_Number,Field1
1,,PLATED_HOLE2.7_PAD5.0,B1 B2 B3 B4 B5 B6 B7 B8,PLATED_HOLE2.7_PAD5.0,MTG270_500,8,Undefined,CERN DEM JMW,~~,Undefined,None,~~,No,~~,MTG270_500,PcbLib\Pads.PcbLib,~~,~~,Standard (No BOM),No,0mm,~~,No,"This work is licensed under the Creative Commons CC-BY-SA 4.0 License. To the extent that circuit schematics that use Licensed Material can be considered to be ‘Adapted Material’, then the copyright holder waives article 3.b of the license with respect to these schematics.",Plated Through Hole: Hole Dia.=2.7mm Pad Dia.=5.0mm,~~,09/27/11 00:00:00,~~,SchLib\Pads.SchLib,Plated Hole,Standard (No BOM),1,~~,PLATED_HOLE2.7_PAD5.0,Pads,~~,Plated Hole,~~,Single Terminal Socket,~~,~~,09/27/11 00:00:00,No,~~,Plated Through Hole: Hole Dia.=2.7mm Pad Dia.=5.0mm,,,,,,,,,,,,,,,,,,,,,,
2,,C-Device,C14 C15 C16 C17 C18 C19 C20 C21 C23 C25 C193 C358 C359,100nF,CAPC0603X33N,13,~,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CC0201_100NF_6.3V_10%_X5R,,,,,,,,,,,,,,,,,,,,,
3,,C-Device,C357,100nF,CAPC1005X55N,1,~,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CC0402_100NF_16V_10%_X5R,,,,,,,,,,,,,,,,,,,,,
4,,C-Device,C24,1uF,CAPC1005X55N,1,~,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CC0402_1UF_16V_10%_X5R,,,,,,,,,,,,,,,,,,,,,
5,,C-Device,C22 C26 C27,22uF,CAPC1709X100N,3,~,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CC0603_22UF_6.3V_20%_X5R,,,,,,,,,,,,,,,,,,,,,
6,,CAE830-1020_470UF_16V_20%,C350,CAE830-1020_470UF_16V_20%,CAPAE830X1020N,1,\\cern.ch\dfs\Applications\Altium\Datasheets\CAE_PANASONIC_FK.pdf,CERN DEM JLC,,\\cern.ch\dfs\Applications\Altium\Datasheets\CAE_PANASONIC_FK.pdf,Not Recommended,,Yes,,CAPAE830X1020N,PcbLib\Capacitors SMD.PcbLib,,EEEFK1C471AP,Standard,Yes,10.2mm,F,No,"This work is licensed under the Creative Commons CC-BY-SA 4.0 License. To the extent that circuit schematics that use Licensed Material can be considered to be ‘Adapted Material’, then the copyright holder waives article 3.b of the license with respect to these schematics.",Aluminum Electrolytic SMT Capacitor,~~,12/03/07 00:00:00,~~,SchLib\Capacitors.SchLib,,Standard,2.0000000000000000e+00,=Value,CAE830-1020_470UF_16V_20%,Capacitors SMD,~~,,~~,Capacitor - polarized,~~,,11/05/14 00:00:00,No,PANASONIC,~~,,470uF,±20%,~~,~~,16V,470uF,,,,,,,,,,,,,,,
7,,CC0201_100NF_6.3V_10%_X5R,C8 C9 C10,CC0201_100NF_6.3V_10%_X5R,CAPC0603X33N,3,\\cern.ch\dfs\Applications\Altium\Datasheets\CC0201_X5R_AVX.pdf,CERN DEM JLC,,\\cern.ch\dfs\Applications\Altium\Datasheets\CC0201_X5R_AVX.pdf,Not Recommended,,Yes,,CAPC0603X33N,PcbLib\Capacitors SMD.PcbLib,,CC0201_100NF_6.3V_10%_X5R,Standard,Yes,~~,0201,No,"This work is licensed under the Creative Commons CC-BY-SA 4.0 License. To the extent that circuit schematics that use Licensed Material can be considered to be ‘Adapted Material’, then the copyright holder waives article 3.b of the license with respect to these schematics.",SMD Multilayer Chip Ceramic Capacitor,~~,12/03/07 00:00:00,02016D104KAT2A,SchLib\Capacitors.SchLib,,Standard,2.0000000000000000e+00,=Value,CC0201_100NF_6.3V_10%_X5R,Capacitors SMD,0.33mm,,~~,Capacitor - non polarized,AVX,,12/03/07 00:00:00,No,GENERIC,~~,,100nF,±10%,~~,X5R,6.3V,100nF,,,,,,,,,,,,,,,
8,,CC0201_100NF_6.3V_10%_X5R,C7 C11 C28 C32 C34 C35 C37 C38 C39 C40 C41 C43 C44 C45 C46 C48 C49 C50 C51 C52 C53 C54 C55 C56 C58 C59 C60 C63 C64 C65 C66 C67 C70 C74 C76 C77 C78 C79 C80 C82 C86 C88 C89 C90 C91 C94 C98 C100 C101 C108 C109 C110 C112 C114 C115 C116 C117 C122 C124 C125 C126 C133 C136 C163 C164 C166 C169 C170 C174 C175 C176 C177 C178 C179 C180 C181 C182 C183 C184 C185 C186 C187 C190 C191 C192 C196 C197 C198 C199 C200 C201 C202 C203 C204 C205 C206 C207 C208 C209 C210 C211 C212 C213 C214 C215 C217 C218 C219 C220 C221 C224 C230 C232 C234 C236 C238 C288 C289 C290 C291 C292 C293 C294 C295 C296 C297 C298 C299 C300 C301 C302 C303 C304 C305 C306 C307 C308 C309 C310 C311 C312 C313 C314 C315 C316 C317 C318 C319 C320 C321 C322 C323 C324 C325 C326 C327 C328 C329 C342 C351 C352 C355 C356,CC0201_100NF_6.3V_10%_X5R,CAPC0603X33N,163,\\cern.ch\dfs\Applications\Altium\Datasheets\CC0201_X5R_AVX.pdf,CERN DEM JLC,,\\cern.ch\dfs\Applications\Altium\Datasheets\CC0201_X5R_AVX.pdf,Not Recommended,,Yes,,CAPC0603X33N,PcbLib\Capacitors SMD.PcbLib,,CC0201_100NF_6.3V_10%_X5R,Standard,Yes,~~,0201,No,"This work is licensed under the Creative Commons CC-BY-SA 4.0 License. To the extent that circuit schematics that use Licensed Material can be considered to be ‘Adapted Material’, then the copyright holder waives article 3.b of the license with respect to these schematics.",SMD Multilayer Chip Ceramic Capacitor,~~,12/03/07 00:00:00,02016D104KAT2A,SchLib\Capacitors.SchLib,,Standard,2.0000000000000000e+00,=Value,CC0201_100NF_6.3V_10%_X5R,Capacitors SMD,0.33mm,,~~,Capacitor - non polarized,AVX,,12/03/07 00:00:00,No,GENERIC,~~,,100nF,±10%,~~,X5R,6.3V,100nF,,,,,,,,,,,,,,,
9,,CC0201_470NF_4V_20%_X5R,C3 C4 C216 C223 C226 C227 C228 C229 C231 C244 C245 C246 C247 C248 C249 C250 C251 C256 C257 C258 C259 C260 C261 C262 C263 C264 C267 C269 C271 C273 C275 C277 C279 C332 C333 C334 C335 C336 C337 C338 C339,CC0201_470NF_4V_20%_X5R,CAPC0603X33N,41,\\cern.ch\dfs\Applications\Altium\Datasheets\CC0201_X5R_TAIYO-YUDEN_STANDARD-CLASS2.pdf,CERN DEM JLC,,\\cern.ch\dfs\Applications\Altium\Datasheets\CC0201_X5R_TAIYO-YUDEN_STANDARD-CLASS2.pdf,Not Recommended,,Yes,,CAPC0603X33N,PcbLib\Capacitors SMD.PcbLib,,CC0201_470NF_4V_20%_X5R,Standard,Yes,~~,0201,No,"This work is licensed under the Creative Commons CC-BY-SA 4.0 License. To the extent that circuit schematics that use Licensed Material can be considered to be ‘Adapted Material’, then the copyright holder waives article 3.b of the license with respect to these schematics.",SMD Multilayer Chip Ceramic Capacitor,~~,05/27/10 00:00:00,AMK063BJ474MP-F,SchLib\Capacitors.SchLib,,Standard,2.0000000000000000e+00,=Value,CC0201_470NF_4V_20%_X5R,Capacitors SMD,0.33mm,,~~,Capacitor - non polarized,TAIYO YUDEN,,05/27/10 00:00:00,No,GENERIC,~~,,470nF,±20%,~~,X5R,4V,470nF,,,,,,,,,,,,,,,
10,,CC0402_100NF_16V_10%_X5R,C5 C61 C128 C130 C131 C134 C135 C137 C140 C147 C148 C149 C150 C362 C363,CC0402_100NF_16V_10%_X5R,CAPC1005X55N,15,\\cern.ch\dfs\Applications\Altium\Datasheets\CC0402_X5R_MURATA_GRM.pdf,CERN DEM JLC,,\\cern.ch\dfs\Applications\Altium\Datasheets\CC0402_X5R_MURATA_GRM.pdf,None,,Yes,,CAPC1005X55N,PcbLib\Capacitors SMD.PcbLib,,CC0402_100NF_16V_10%_X5R,Standard,Yes,~~,0402,No,"This work is licensed under the Creative Commons CC-BY-SA 4.0 License. To the extent that circuit schematics that use Licensed Material can be considered to be ‘Adapted Material’, then the copyright holder waives article 3.b of the license with respect to these schematics.",SMD Multilayer Chip Ceramic Capacitor,~~,12/10/13 00:00:00,GRM155R61C104KA88D,SchLib\Capacitors.SchLib,,Standard,2.0000000000000000e+00,=Value,CC0402_100NF_16V_10%_X5R,Capacitors SMD,0.55mm,,~~,Capacitor - non polarized,MURATA,,12/10/13 00:00:00,No,GENERIC,~~,,100nF,±10%,~~,X5R,16V,100nF,,,,,,,,,,,,,,,
